Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CO2X(24),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-2.1846352377969366e-119,1.3113256477854644e-65,2.970007269282657e-36,3.6751605507384258e-88,1.797066844862686e-54,1.2498642903363739e-131,5.5646920903778486e-20,-6.5438484712782309e-106,5.5646920903778486e-20,2.5940902907334476e-72,9.8476964620735289e-73,8.2455444548696771e-112,9.560689985490098e-113,4.6995671483435787e-53,1.2177480446214868e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345856608e-22,9.0087835685960938e-38,3.3357983340900261e-37,3.6022135344871299e-22,4.9242442225895278e-33,1.4687535007284034e-40,2.2059362688668268e-44,2.7846133382544696e-75,3.3174158810800166e-54,2.1456307284502586e-52,2.0215757127345814e-98,-8.9479736292343458e-107,1.4521179818330722e-105,-1.3964508280861866e-107
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,3.9577996089182869e-117,2.9334377887923065e-64,1.7938844035116988e-35,4.0611669787673375e-86,2.7157274388747728e-53,4.5098865742121514e-129,1.5581137853057977e-19,1.2632996837692161e-104,1.558113785305797e-19,7.3157497338636852e-71,3.0962733507251452e-71,1.6483306052203399e-109,1.9112355765398928e-110,5.5793261182906824e-52,6.3034146407142125e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197896999578e-21,5.4413052751947026e-37,2.0148221937883227e-36,1.0086197896404453e-21,2.9742434247342614e-32,1.7437041092313287e-39,2.6188956398816855e-43,1.6940213408279799e-73,3.9384361338471144e-53,2.5472928175454814e-51,1.9037822306881196e-96,9.055609655427984e-105,2.9028653291989568e-103,1.4132488669356783e-105
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,1.6707667619076726e-114,5.7960271675843417e-63,8.636781332048563e-35,3.6742625053805257e-84,2.9214556545954072e-52,1.6329329699315755e-126,3.5614029378418233e-19,1.3339110546618414e-102,3.5614029378418209e-19,1.5913353643561838e-69,6.9076155203035626e-70,2.9841539661927489e-107,3.4601197162711255e-108,5.4778154674185476e-51,2.7523175251436612e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166622466328e-21,2.6197542613917346e-36,9.7005015555029895e-36,2.3054166619601055e-21,1.4319700913643212e-31,1.7119789352653931e-38,2.5712644295870182e-42,7.6476723818216419e-72,3.8667799504565099e-52,2.5009472289425567e-50,1.6639154990722396e-94,1.8963962472468358e-102,5.2553759894961324e-101,2.9595796968213103e-103
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,5.3740898023634206e-112,1.0313760231898589e-61,3.7719094313960332e-34,2.7807737138013047e-82,2.6853210691925342e-51,4.9513930946079553e-124,7.5679812429138743e-19,1.0543455180714832e-100,7.5679812429138618e-19,2.950067574178432e-68,1.2937199385991386e-68,4.5218562233517805e-105,5.2430819755931841e-106,4.8450657458057681e-50,1.024618805887718e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104075955487e-21,1.1441155128438274e-35,4.2364638842624962e-35,4.8990104063442088e-21,6.253788834186814e-31,1.5142258042253578e-37,2.274284796396263e-41,2.887653729234874e-70,3.4201230756445046e-51,2.2120595647110292e-49,1.2413325892339742e-92,3.0476556117699277e-100,7.9634143858648367e-99,4.756273740586181e-101
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,1.5373187288873863e-109,1.7395696319600461e-60,1.5746980336399759e-33,1.9319217935116259e-80,2.2973487104297466e-50,1.377210336650915e-121,1.5581137853057976e-18,7.4728276423098333e-99,1.5581137853057924e-18,5.0704124145362449e-67,2.2345794674562484e-67,6.2868059457368022e-103,7.2895371524254806e-104,4.0725696950484917e-49,3.5299671406740577e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197899315644e-20,4.7764570447587527e-35,1.7686402767058782e-34,1.0086197894091545e-20,2.6108330911655421e-30,1.2727977305257613e-36,1.9117247621974491e-40,1.0018877115356488e-68,2.87481952186918e-50,1.8593694567734335e-48,8.5626424009240057e-91,4.3573890743665661e-98,1.1071656955893749e-96,6.8002877873030638e-99
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,4.1571948878616332e-107,2.8572509464253183e-59,6.4331560650377416e-33,1.2876852473321598e-78,1.8994923401522983e-49,3.6735133419095014e-119,3.1607451073346188e-18,5.0288704258013869e-97,3.1607451073345965e-18,8.4038367306443082e-66,3.7127872026602544e-66,8.3832876755220073e-101,9.7204029354960815e-102,3.3389386879816193e-48,1.171467392854099e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572886844887e-20,1.9513385532889614e-34,7.2254726233297592e-34,2.0460572865502737e-20,1.0666099832720386e-29,1.0435159918365665e-35,1.5674316790657958e-39,3.3368808300337032e-67,2.3569507315295652e-49,1.5244235929404357e-47,5.6864934633846319e-89,5.8903984405171627e-96,1.4763758592975083e-94,9.1927537137258068e-97
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,1.0936823373543857e-104,4.6317290008040856e-58,2.6003851745001891e-32,8.4099601616384408e-77,1.5446356250410024e-48,9.5990392637107645e-117,6.366007751392262e-18,3.2996258265627892e-95,6.3660077513921703e-18,1.3683469563341274e-64,6.0527801880916469e-65,1.0952078458508412e-98,1.269890998819933e-99,2.703959113607298e-47,3.8170559434964892e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322878259617e-20,7.8876224128583632e-34,2.9206515596162948e-33,4.1209322791991179e-20,4.3114038534776195e-29,8.4506551662565832e-35,1.2694832181969139e-38,1.0893286710052046e-65,1.9087198075863987e-48,1.2345180305885454e-46,3.7067868960517585e-87,7.7474812583090729e-94,1.9287640923638201e-92,1.2090979564966247e-94
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,2.8386036733842483e-102,7.4592584279528792e-57,1.0456039529813297e-31,5.4379077219651773e-75,1.2458045898631278e-47,2.4829992815080554e-114,1.2776533039507551e-17,2.1381084301712962e-93,1.2776533039507187e-17,2.208517504275417e-63,9.7752561349033117e-64,1.416440700014366e-96,1.6423597603716678e-97,2.1763815277182395e-46,1.2325042339206552e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706822926514308e-20,3.1715782717552717e-33,1.1743811465478646e-32,8.2706822579632345e-20,1.7335931213305752e-28,6.8018097743963655e-34,1.0220101201095726e-37,3.5212665883529684e-64,1.5363037513787742e-47,9.9364796509293444e-46,2.3941432367263891e-85,1.0053598155433522e-91,2.4944853812359359e-90,1.5689983107913158e-92
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,7.3191956339289382e-100,1.1973763031399662e-55,4.1933436097157752e-31,3.4992441734296995e-73,1.0006979963367076e-46,6.3915142152622603e-112,2.5597583615738136e-17,1.3768819759442901e-91,2.5597583615736684e-17,3.5490283400949274e-62,1.5713438621668509e-62,1.823002703451615e-94,2.1137674757782228e-95,1.7464091025805541e-45,3.9617747275826363e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182328472627e-19,1.2719447317142451e-32,4.7097936518078546e-32,1.6570182189357177e-19,6.95245646665735e-28,5.458003609082751e-33,8.2045115994377904e-37,1.1328654382067903e-62,1.2327870000087777e-46,7.9734064192545144e-45,1.5392630622496168e-83,1.2961015884473833e-89,3.2104793323152227e-88,2.0227396985721694e-90
