Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033530381265e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-2.4798358518713292e-120,1.3121011970576501e-65,2.9700081019072153e-36,1.7794777549859145e-88,1.7990172200268773e-54,6.0517257281229052e-132,5.5646936881172801e-20,-6.5509510702060748e-106,5.5646936881172801e-20,2.5969050723856456e-72,8.6754663751406525e-72,3.9924153298343744e-112,4.6291950823223756e-113,2.0046095659699536e-52,1.2190690365957187e-85,3.0390311154049371e-18,8.9980309964363556e-20,3.6022135338673209e-22,9.00878356544177e-38,3.3357997036290013e-37,3.6022135338195841e-22,2.384261330449336e-33,3.4433204255645511e-41,2.5040167844139708e-45,3.160888478798856e-76,3.3174158792803075e-54,2.1456313295528216e-52,2.0237697108083092e-98,7.0310170402507903e-106,-3.2685487047275957e-108,-1.0157082259872995e-107
1.7654093885067544e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,4.4926154744683305e-118,2.9353441547091209e-64,1.79388489501229e-35,1.9663847882432505e-86,2.7186748419213053e-53,2.183651849009018e-129,1.5581142326728387e-19,1.2646708177160524e-104,1.558114232672838e-19,7.323687858350326e-71,2.7277054372634941e-70,7.9810880996903589e-110,9.2540506761747683e-111,2.379872476697262e-51,6.310252467052459e-84,8.5092871231338226e-18,2.5194486790021794e-19,1.0086197894905932e-21,5.4413052734712346e-37,2.0148230209898635e-36,1.0086197894617603e-21,1.4400938234992931e-32,4.0879099550845515e-40,2.9727878434775488e-44,1.9229348790195506e-74,3.9384361318309675e-53,2.5472935163440872e-51,1.9058483859713697e-96,1.4055443082087962e-103,3.307877349940987e-106,1.0279296839773767e-105
4.03522145944401e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,1.8965500631313796e-115,5.7999454545839193e-63,8.6367835822511514e-35,1.7790612491036473e-84,2.9246263360253436e-52,7.9065893176733799e-127,3.5614039603950602e-19,1.3353588288461246e-102,3.5614039603950569e-19,1.5930620796047948e-69,6.0853607795637885e-69,1.4449141984739864e-107,1.6753742156926772e-108,2.3365729100255481e-50,2.7553031872884365e-82,1.9449799138591578e-17,5.7587398377192674e-19,2.3054166617292885e-21,2.6197542607470715e-36,9.7005055381223277e-36,2.3054166615904718e-21,6.9334316475650875e-32,4.0135341201864258e-39,2.9187412266772539e-43,8.681165895079029e-73,3.8667799487322194e-52,2.5009478836135957e-50,1.6657213291692826e-94,2.5446291309425727e-101,6.9272975721078717e-104,2.152671955837822e-103
8.57484560131852e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,6.1004174925260837e-113,1.032085651887546e-61,3.7719103120572985e-34,1.3464570683687578e-82,2.6882354716641893e-51,2.3974763769647061e-124,7.5679834158395039e-19,1.0554898629004831e-100,7.5679834158394914e-19,2.9532686131998295e-68,1.1397207259424357e-67,2.1894936990107431e-105,2.5387121897016337e-106,2.0666722779874185e-49,1.0257302930267982e-80,4.1330823169507025e-17,1.2237322155153443e-18,4.8990104063305716e-21,1.1441155127249287e-35,4.2364656235769958e-35,4.8990104057243234e-21,3.0280115782430402e-31,3.5499252734516581e-38,2.5816655958575901e-42,3.2779330908114018e-71,3.4201230745733179e-51,2.2120600878781126e-49,1.242679794492491e-92,3.8559033154833042e-99,1.1132861654033108e-101,3.4595596370337601e-101
1.7654093885067543e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,1.7451423990671266e-110,1.7407766088724162e-60,1.5746983160028241e-33,9.3546747300520622e-81,2.299842043100675e-50,6.6686729705692537e-122,1.5581142326728393e-18,7.4809383531823841e-99,1.5581142326728331e-18,5.0759141827363847e-67,1.9685841252680529e-66,3.0441724135468399e-103,3.5297099129786154e-104,1.7371625758534957e-48,3.5337963823861604e-79,8.5092871231337665e-17,2.5194486790021791e-18,1.008619789602871e-20,4.776457045621635e-35,1.7686410028354434e-34,1.0086197893497738e-20,1.264135077119414e-30,2.9839257481528822e-37,2.170166672198981e-41,1.1373297677434567e-69,2.8748195217324182e-50,1.8593698025180083e-48,8.5719353470242213e-91,5.3610725198531764e-97,1.5917673782383976e-99,4.9464498400884515e-99
3.5812590452565587e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,4.7194562217892454e-108,2.8592415662400934e-59,6.4331565215347697e-33,6.2355310408048359e-79,1.9015538758204177e-49,1.7788740501507946e-119,3.1607460148506173e-18,5.0343285623966877e-97,3.1607460148505942e-18,8.4129555079524077e-66,3.2708319659020301e-65,4.0595513539043704e-101,4.7070391257320337e-102,1.4242308343953153e-47,1.1727381785652989e-77,1.7261696735499801e-16,5.1108816059758468e-18,2.0460572877407274e-20,1.9513385547522796e-34,7.225475589805962e-34,2.0460572867067423e-20,5.1644030391288288e-30,2.4464020466741174e-36,1.7794324814105049e-40,3.7881993388667699e-68,2.3569507326697345e-49,1.5244237222364848e-47,5.6926649551693715e-89,7.1492498614667687e-95,2.1519025775661858e-97,6.6870814869882921e-97
7.212958358756168e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,1.2417438425571295e-105,4.6349624495669679e-58,2.6003847954870282e-32,4.0729286680558995e-77,1.5463120316086449e-48,4.6487928900045447e-117,6.3660095792061761e-18,3.3032071096231784e-95,6.3660095792060813e-18,1.369831712829385e-64,5.3322816168598032e-64,5.3040689885739415e-99,6.1500540522780647e-100,1.1533790549963511e-46,3.8211966137190048e-76,3.4766515960231483e-16,1.0293747459923178e-17,4.1209322848093542e-20,7.8876224277537656e-34,2.9206527587134064e-33,4.1209322806298202e-20,2.0875332873053755e-29,1.9811588929914371e-35,1.441352435390612e-39,1.2368031743410766e-66,1.9087198105380675e-48,1.2345178855945457e-46,3.7108098330368204e-87,9.3409618881884788e-93,2.8306606192229511e-95,8.7963360614699964e-95
1.4476356985755386e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,3.2236212373505695e-103,7.4644710802577493e-57,1.0456033473878627e-31,2.6341647394536122e-75,1.2471566724910661e-47,1.202781337115696e-114,1.2776536707917303e-17,2.1404290482959052e-93,1.2776536707916922e-17,2.2109139072433581e-63,8.6116490450316361e-63,6.8613387796858015e-97,7.955704282124681e-98,9.2833980456750392e-46,1.2338412312434473e-74,6.9776154409693308e-16,2.0659479167817825e-17,8.2706822821182768e-20,3.1715782849667006e-33,1.1743816286995401e-32,8.2706822653125423e-20,8.39387155104502e-29,1.5946075664326794e-34,1.1606439862545946e-38,3.9988910741675453e-65,1.5363037570197059e-47,9.9364744642545253e-46,2.3967415752979922e-85,1.2083459731566505e-90,3.6740698946989238e-93,1.1417247747594559e-92
2.9003154239753823e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,8.3157088371481796e-101,1.1982134762775409e-55,4.1933375460076392e-31,1.6958272998409312e-73,1.0017840626314893e-46,3.0974832869825789e-112,2.5597590965339593e-17,1.3783763890525437e-91,2.5597590965338071e-17,3.5528792953264588e-62,1.3842974296652e-61,8.8347300954931154e-95,1.0243846325876171e-95,7.4493422739802125e-45,3.9660723860020336e-73,1.3979543130861079e-15,4.1390942583607037e-17,1.6570182289422816e-19,1.2719447428053645e-32,4.7097955854517265e-32,1.6570182222024248e-19,3.3663115130420897e-28,1.2795697919152109e-33,9.3217527079347892e-38,1.2871134438453699e-63,1.2327870097754659e-46,7.97339580629181e-45,1.5409336083223488e-83,1.5558786521933146e-88,4.7387302651060346e-91,1.4725701806769498e-90
